Spectrum #,Spectrum ID,Neel,Sarayu,Reagen,Brenda,ra,dec,slit,i_mag,targetnum,name,side
71.0,slitA071_SDSSJ112704.42+422500.0t100863.fits,,0.342,0.3425,,171.768425,42.41669,507,22.271570205688477,974,SDSSJ112704.42+422500.0,A
71.0,slitA071_SDSSJ112704.42+422500.0t100863.fits,,0.342,0.3425,,171.768425,42.41669,1065,22.271570205688477,10988,SDSSJ112704.42+422500.0,A
72.0,slitA072_SDSSJ112704.42+422500.0t100864.fits,similar to before,0.342,0.3425,,171.768425,42.41669,507,22.271570205688477,974,SDSSJ112704.42+422500.0,A
72.0,slitA072_SDSSJ112704.42+422500.0t100864.fits,similar to before,0.342,0.3425,,171.768425,42.41669,1065,22.271570205688477,10988,SDSSJ112704.42+422500.0,A
73.0,slitA073_SDSSJ112706.63+422422.3t100865.fits,,0.4104,0.4105,,171.777661,42.406222,450,21.460960388183594,913,SDSSJ112706.63+422422.3,A
73.0,slitA073_SDSSJ112706.63+422422.3t100865.fits,,0.4104,0.4105,,171.777661,42.406222,1008,21.460960388183594,10927,SDSSJ112706.63+422422.3,A
74.0,slitA074_SDSSJ112706.63+422422.3t100866.fits,similar to before,0.4104,0.4105,,171.777661,42.406222,450,21.460960388183594,913,SDSSJ112706.63+422422.3,A
74.0,slitA074_SDSSJ112706.63+422422.3t100866.fits,similar to before,0.4104,0.4105,,171.777661,42.406222,1008,21.460960388183594,10927,SDSSJ112706.63+422422.3,A
75.0,slitA075_SDSSJ112651.19+422720.3t100867.fits,re-try,0.3889,0.325,,171.713313,42.455652,236,18.55219078063965,290,SDSSJ112651.19+422720.3,A
75.0,slitA075_SDSSJ112651.19+422720.3t100867.fits,re-try,0.3889,0.325,,171.713313,42.455652,794,18.55219078063965,10295,SDSSJ112651.19+422720.3,A
76.0,slitA076_SDSSJ112651.19+422720.3t100868.fits,similar to before,0.3889,0.335,,171.713313,42.455652,236,18.55219078063965,290,SDSSJ112651.19+422720.3,A
76.0,slitA076_SDSSJ112651.19+422720.3t100868.fits,similar to before,0.3889,0.335,,171.713313,42.455652,794,18.55219078063965,10295,SDSSJ112651.19+422720.3,A
