slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side
106,2567,SDSSJ112746.52+422153.6,171.94384033,42.36491009,0,0,19.49056053161621,5,2000,TARGET,4416.639773795264,9807.524140620002,B
116,3155,SDSSJ112742.99+422346.1,171.92914201,42.396166,0,0,19.79914093017578,5,2000,TARGET,5008.091747594332,10399.261611429241,B
93,1434,SDSSJ112748.72+422144.9,171.9530239,42.36249616,0,0,20.333290100097656,5,2000,TARGET,4330.5112149798815,9721.353437302125,B
107,2569,SDSSJ112802.76+421708.1,172.01153947,42.28558551,0,0,18.444440841674805,5,2000,TARGET,2759.3009401536683,8149.383054075614,B
97,2216,SDSSJ112748.13+422406.6,171.95057858,42.40185652,0,0,19.043970108032227,5,2000,TARGET,4995.181522881706,10386.343299336204,B
92,1427,SDSSJ112754.63+422209.8,171.97764322,42.36940642,0,0,19.651309967041016,5,2000,TARGET,4321.938887463871,9712.774727824193,B
114,2601,SDSSJ112806.40+421728.0,172.02667742,42.29111748,0,0,20.537599563598633,5,2000,TARGET,2775.3280231393073,8165.4163488016875,B
112,2598,SDSSJ112800.55+422035.2,172.00230651,42.34312791,0,0,20.154380798339844,5,2000,TARGET,3762.499150716215,9153.063885140455,B
96,1437,SDSSJ112755.09+422313.8,171.97958251,42.38719238,0,0,20.117820739746094,5,2000,TARGET,4607.5174663501675,9998.490184799208,B
95,1436,SDSSJ112756.32+422306.8,171.9846725,42.38524647,0,0,20.15110969543457,5,2000,TARGET,4549.923109218466,9940.867634676973,B
