spectrum_#,spectrum_id,name,side,targetnum,ra,dec,i_mag,neel,sarayu,reagen,brenda
114.0,slitA114_SDSSJ112653.94+422241.9t100906.fits,SDSSJ112653.94+422241.9,A,948,171.724755,42.378309,20.74,,0.2929,0.292,
114.0,slitA114_SDSSJ112653.94+422241.9t100906.fits,SDSSJ112653.94+422241.9,A,10962,171.724755,42.378309,20.74,,0.2929,0.292,
115.0,slitA115_SDSSJ112653.94+422241.9t100907.fits,SDSSJ112653.94+422241.9,A,948,171.724755,42.378309,20.74,similar to before,0.2929,0.292,
115.0,slitA115_SDSSJ112653.94+422241.9t100907.fits,SDSSJ112653.94+422241.9,A,10962,171.724755,42.378309,20.74,similar to before,0.2929,0.292,
116.0,slitA116_SDSSJ112656.37+422159.1t100908.fits,SDSSJ112656.37+422159.1,A,395,171.734886,42.366442,20.79,,?,?,
116.0,slitA116_SDSSJ112656.37+422159.1t100908.fits,SDSSJ112656.37+422159.1,A,10400,171.734886,42.366442,20.79,,?,?,
117.0,slitA117_SDSSJ112656.37+422159.1t100909.fits,SDSSJ112656.37+422159.1,A,395,171.734886,42.366442,20.79,,?,?,
117.0,slitA117_SDSSJ112656.37+422159.1t100909.fits,SDSSJ112656.37+422159.1,A,10400,171.734886,42.366442,20.79,,?,?,
118.0,slitA118_SDSSJ112647.11+422342.4t100910.fits,SDSSJ112647.11+422342.4,A,1076,171.696319,42.395133,23.27,re-try,0.6595,?,
118.0,slitA118_SDSSJ112647.11+422342.4t100910.fits,SDSSJ112647.11+422342.4,A,11090,171.696319,42.395133,23.27,re-try,0.6595,?,
119.0,slitA119_SDSSJ112647.11+422342.4t100911.fits,SDSSJ112647.11+422342.4,A,1076,171.696319,42.395133,23.27,similar to before,0.6595,?,
119.0,slitA119_SDSSJ112647.11+422342.4t100911.fits,SDSSJ112647.11+422342.4,A,11090,171.696319,42.395133,23.27,similar to before,0.6595,?,
120.0,slitA120_SDSSJ112700.01+422053.7t100912.fits,SDSSJ112700.01+422053.7,A,484,171.750055,42.348255,22.17,,?,0.312,
120.0,slitA120_SDSSJ112700.01+422053.7t100912.fits,SDSSJ112700.01+422053.7,A,10489,171.750055,42.348255,22.17,,?,0.312,
121.0,slitA121_SDSSJ112700.01+422053.7t100913.fits,SDSSJ112700.01+422053.7,A,484,171.750055,42.348255,22.17,?,0.297?,0.312?,
121.0,slitA121_SDSSJ112700.01+422053.7t100913.fits,SDSSJ112700.01+422053.7,A,10489,171.750055,42.348255,22.17,?,0.297?,0.312?,
122.0,slitA122_SDSSJ112657.92+422100.3t100914.fits,SDSSJ112657.92+422100.3,A,478,171.741349,42.350091,22.07,,?,?,
122.0,slitA122_SDSSJ112657.92+422100.3t100914.fits,SDSSJ112657.92+422100.3,A,10483,171.741349,42.350091,22.07,,?,?,
123.0,slitA123_SDSSJ112657.92+422100.3t100915.fits,SDSSJ112657.92+422100.3,A,478,171.741349,42.350091,22.07,,?,?,
123.0,slitA123_SDSSJ112657.92+422100.3t100915.fits,SDSSJ112657.92+422100.3,A,10483,171.741349,42.350091,22.07,,?,?,
124.0,slitA124_SDSSJ112651.81+422202.5t100916.fits,SDSSJ112651.81+422202.5,A,587,171.715884,42.367363,23.12,show,0.573?,?,
124.0,slitA124_SDSSJ112651.81+422202.5t100916.fits,SDSSJ112651.81+422202.5,A,10592,171.715884,42.367363,23.12,show,0.573?,?,
125.0,slitA125_SDSSJ112651.81+422202.5t100917.fits,SDSSJ112651.81+422202.5,A,587,171.715884,42.367363,23.12,similar to before,0.573?,0.573?,
125.0,slitA125_SDSSJ112651.81+422202.5t100917.fits,SDSSJ112651.81+422202.5,A,10592,171.715884,42.367363,23.12,similar to before,0.573?,0.573?,
